time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,strain_1,strain_2,strain_3,strain_4,strain_5,damage_type,damage_severity
0.0,10.962103680093179,10.970729254628182,10.959546927908008,0.012286854439318371,0.003516037420029372,0.008774365728719827,9.939866643788958e-06,1.1472771716815417e-05,1.226378990793314e-05,1.1594022093039713e-05,9.982900625807044e-06,simulated,0.4394613330990888
0.01,14.506389913473502,14.518522868902435,14.520967892682155,-0.015595005766001412,0.01349690059982072,-0.0018085354591697346,9.939866643788958e-06,1.1472771716815417e-05,1.226378990793314e-05,1.1594022093039713e-05,9.982900625807044e-06,simulated,0.4394613330990888
0.02,14.897283931396615,14.90201297237137,14.883017869766157,0.010000421575293772,-0.004331162749424099,-0.0002356958784622556,9.939866643788958e-06,1.1472771716815417e-05,1.226378990793314e-05,1.1594022093039713e-05,9.982900625807044e-06,simulated,0.4394613330990888
0.03,6.45517635029628,6.453032499629898,6.470476673561074,0.009687760575297487,0.009892570078809119,0.004303052259269867,9.939866643788958e-06,1.1472771716815417e-05,1.226378990793314e-05,1.1594022093039713e-05,9.982900625807044e-06,simulated,0.4394613330990888
0.04,-3.598748939449081,-3.6197785345834546,-3.6361701066982657,-0.011254198089279445,-0.003000567063386377,0.00012178493967165732,9.939866643788958e-06,1.1472771716815417e-05,1.226378990793314e-05,1.1594022093039713e-05,9.982900625807044e-06,simulated,0.4394613330990888
0.05,-11.696097439915356,-11.68450879266825,-11.673516345663755,0.007539590142235923,0.004650214029442066,0.0031607789514201496,9.939866643788958e-06,1.1472771716815417e-05,1.226378990793314e-05,1.1594022093039713e-05,9.982900625807044e-06,simulated,0.4394613330990888
0.06,-16.506024317610542,-16.50408888456523,-16.502408592159085,0.008094583093018604,-0.012032697599186562,0.009346982181227904,9.939866643788958e-06,1.1472771716815417e-05,1.226378990793314e-05,1.1594022093039713e-05,9.982900625807044e-06,simulated,0.4394613330990888
0.07,-18.161560672492328,-18.16202936336589,-18.18760349906025,-0.011862587874527843,-0.010379664568647506,0.012089684542733379,9.939866643788958e-06,1.1472771716815417e-05,1.226378990793314e-05,1.1594022093039713e-05,9.982900625807044e-06,simulated,0.4394613330990888
0.08,-17.24419861520566,-17.23897525484774,-17.258348605310495,-0.007983408695716607,0.004742602604986338,-0.0075859521786593755,9.939866643788958e-06,1.1472771716815417e-05,1.226378990793314e-05,1.1594022093039713e-05,9.982900625807044e-06,simulated,0.4394613330990888
0.09,-14.375410190730392,-14.359617350486868,-14.3582878139866,0.015082294436029983,-0.007438308802719119,0.0025807952600976816,9.939866643788958e-06,1.1472771716815417e-05,1.226378990793314e-05,1.1594022093039713e-05,9.982900625807044e-06,simulated,0.4394613330990888
